"signature"	"BetweennessCentrality"	"gene"	"rank_by_BC"	"PPI_cat"
"HiG_0"	33	"ASPM"	124	"HiG"
"HiG_0"	0	"ABRACL"	250.5	"HiG"
"HiG_0"	0	"CACYBP"	250.5	"HiG"
"HiG_0"	0	"CENPW"	250.5	"HiG"
"HiG_0"	48	"MKI67"	115	"HiG"
"HiG_0"	0	"BUB3"	250.5	"HiG"
"HiG_0"	0	"NDUFAF4"	250.5	"HiG"
"HiG_0"	19	"DKC1"	135.5	"HiG"
"HiG_0"	0	"TTK"	250.5	"HiG"
"HiG_0"	16	"SCD"	140.5	"HiG"
"HiG_0"	0	"HMGB3"	250.5	"HiG"
"HiG_0"	429	"PSMA7"	51	"HiG"
"HiG_0"	350	"SERBP1"	59.5	"HiG"
"HiG_0"	0	"PFDN4"	250.5	"HiG"
"HiG_0"	2076	"HSP90AB1"	14	"HiG"
"HiG_0"	0	"SLC25A5"	250.5	"HiG"
"HiG_0"	0	"KIF20B"	250.5	"HiG"
"HiG_0"	128	"CDC20"	98	"HiG"
"HiG_0"	1485	"YBX1"	22	"HiG"
"HiG_0"	102	"SET"	103	"HiG"
"HiG_0"	0	"YWHAB"	250.5	"HiG"
"HiG_0"	0	"NDUFS5"	250.5	"HiG"
"HiG_0"	0	"MARCKSL1"	250.5	"HiG"
"HiG_0"	101	"SRSF3"	104	"HiG"
"HiG_0"	9	"LIN28A"	152	"HiG"
"HiG_0"	587	"TXN"	45	"HiG"
"HiG_0"	0	"EIF2S2"	250.5	"HiG"
"HiG_0"	0	"CLIC1"	250.5	"HiG"
"HiG_0"	70	"CKS2"	110	"HiG"
"HiG_0"	0	"XRN2"	250.5	"HiG"
"HiG_0"	59	"FTL"	113	"HiG"
"HiG_0"	0	"CNMD"	250.5	"HiG"
"HiG_0"	4	"PODXL"	163	"HiG"
"HiG_0"	0	"SEPHS1"	250.5	"HiG"
"HiG_0"	350	"UQCRQ"	59.5	"HiG"
"HiG_0"	33	"PCNA"	124	"HiG"
"HiG_0"	1	"PAK1IP1"	173	"HiG"
"HiG_0"	0	"TXLNG"	250.5	"HiG"
"HiG_0"	0	"SLTM"	250.5	"HiG"
"HiG_0"	14	"TMSB4X"	143.5	"HiG"
"HiG_0"	286	"PSIP1"	77.5	"HiG"
"HiG_0"	0	"POMP"	250.5	"HiG"
"HiG_0"	188	"NLN"	85.5	"HiG"
"HiG_0"	0	"DUT"	250.5	"HiG"
"HiG_0"	2846	"NOP56"	9	"HiG"
"HiG_0"	0	"IDI1"	250.5	"HiG"
"HiG_0"	0	"RFC1"	250.5	"HiG"
"HiG_0"	0	"CD9"	250.5	"HiG"
"HiG_0"	0	"TRIM71"	250.5	"HiG"
"HiG_0"	189	"XRCC5"	84	"HiG"
"HiG_0"	0	"ECT2"	250.5	"HiG"
"HiG_0"	0	"ATP5MC1"	250.5	"HiG"
"HiG_0"	369	"PTPRZ1"	58	"HiG"
"HiG_0"	319	"HMMR"	71	"HiG"
"HiG_0"	28	"PTTG1"	129.5	"HiG"
"HiG_0"	156	"HELLS"	94	"HiG"
"HiG_0"	0	"LARS"	250.5	"HiG"
"HiG_0"	0	"MT1X"	250.5	"HiG"
"HiG_0"	0	"ELOVL6"	250.5	"HiG"
"HiG_0"	0	"MGST1"	250.5	"HiG"
"HiG_0"	19361	"GAPDH"	1	"HiG"
"HiG_0"	0	"CLDN6"	250.5	"HiG"
"HiG_0"	396	"GSTP1"	56	"HiG"
"HiG_0"	0	"JMJD1C"	250.5	"HiG"
"HiG_0"	1	"PAICS"	173	"HiG"
"HiG_0"	0	"CDCA7L"	250.5	"HiG"
"HiG_0"	0	"WDR43"	250.5	"HiG"
"HiG_0"	0	"CEBPZOS"	250.5	"HiG"
"HiG_0"	0	"VSNL1"	250.5	"HiG"
"HiG_0"	0	"NOLC1"	250.5	"HiG"
"HiG_0"	14	"SMS"	143.5	"HiG"
"HiG_0"	0	"GULP1"	250.5	"HiG"
"HiG_0"	113	"PRPF40A"	99.5	"HiG"
"HiG_0"	219	"SSB"	82	"HiG"
"HiG_0"	0	"TARS"	250.5	"HiG"
"HiG_0"	0	"TSTD1"	250.5	"HiG"
"HiG_0"	0	"TKT"	250.5	"HiG"
"HiG_0"	0	"AKIRIN1"	250.5	"HiG"
"HiG_0"	0	"FGFR1"	250.5	"HiG"
"HiG_0"	23	"SNRPG"	133	"HiG"
"HiG_0"	11	"GNL3"	148.5	"HiG"
"HiG_0"	0	"GPATCH4"	250.5	"HiG"
"HiG_0"	0	"GSPT1"	250.5	"HiG"
"HiG_0"	7	"HMGA1"	154.5	"HiG"
"HiG_0"	0	"RANBP1"	250.5	"HiG"
"HiG_0"	35	"RPF2"	119.5	"HiG"
"HiG_0"	0	"AASS"	250.5	"HiG"
"HiG_0"	0	"EBNA1BP2"	250.5	"HiG"
"HiG_0"	4	"STMN1"	163	"HiG"
"HiG_0"	4317	"TOP2A"	6	"HiG"
"HiG_0"	0	"DDX46"	250.5	"HiG"
"HiG_0"	0	"RARRES2"	250.5	"HiG"
"HiG_0"	0	"FAM162A"	250.5	"HiG"
"HiG_0"	0	"POU5F1B"	250.5	"HiG"
"HiG_0"	342	"PPIA"	61	"HiG"
"HiG_0"	18	"SSBP1"	138	"HiG"
"HiG_0"	4568	"L1TD1"	4	"HiG"
"HiG_0"	0	"TFDP2"	250.5	"HiG"
"HiG_0"	0	"MYO10"	250.5	"HiG"
"HiG_0"	0	"OCIAD2"	250.5	"HiG"
"HiG_0"	86	"HNRNPAB"	107	"HiG"
"HiG_0"	1863	"COX7C"	20	"HiG"
"HiG_0"	0	"RAI14"	250.5	"HiG"
"HiG_0"	0	"VASH2"	250.5	"HiG"
"HiG_0"	0	"ENY2"	250.5	"HiG"
"HiG_0"	1	"HDAC2"	173	"HiG"
"HiG_0"	477	"CFL1"	50	"HiG"
"HiG_0"	1438	"HSPA8"	23	"HiG"
"HiG_0"	340	"TRMT112"	62	"HiG"
"HiG_0"	783	"KPNA2"	36	"HiG"
"HiG_0"	0	"BEX2"	250.5	"HiG"
"HiG_0"	0	"BCAT1"	250.5	"HiG"
"HiG_0"	312	"TUBA1C"	74.5	"HiG"
"HiG_0"	1294	"RAN"	25	"HiG"
"HiG_0"	0	"C12orf45"	250.5	"HiG"
"HiG_0"	1907	"SLIRP"	18	"HiG"
"HiG_0"	313	"HNRNPC"	73	"HiG"
"HiG_0"	106	"COX4I1"	102	"HiG"
