"scRNA_signature"	"GS"	"n_cluster_genes"	"n_CTS"	"n_overlap"	"overlap"	"odds_ratio"	"p_value"	"adj_p"	"neglog10_p"	"neglog10_adj_p"
"CTS_Elorbany.CP.1"	"Maven2023_gene_ISL1_targets_CP_L"	208	79	10	"DAB1, FAM89A, PLCE1, SC5D, CGNL1, ORC6, MEIS1, PTPN13, BMPER, ENTPD4"	21.9680732327737	1.77773486050684e-10	9.67931317577531e-10	9.7501330111978	9.01415545824464
"CTS_Elorbany.CP.1"	"Elorbany_C5_RegulonMEF2A_target"	283	79	11	"LPGAT1, CGNL1, TP53I11, KIAA1324L, SC5D, HACD2, JAG1, ISL1, RHOBTB3, IGSF3, CHIC2"	17.8170292781526	1.99279977148315e-10	9.67931317577531e-10	9.70053633527264	9.01415545824464
"CTS_Elorbany.CP.1"	"Maven2023_gene_ISL1_targets_CP_E"	111	79	8	"DAB1, FAM89A, SC5D, PRTG, CGNL1, MEIS1, JAG1, PTPN13"	32.9313944168853	5.26192234207294e-10	2.236316995381e-09	9.27885556572543	8.65046663567512
"CTS_Elorbany.CP.1"	"PCGC_AllCurated"	291	79	10	"CITED2, CPLANE1, GATA6, GPC6, HAND2, HAS2, ISL1, JAG1, SEMA3E, ZEB2"	15.4432838645613	4.57898773146412e-09	1.72983980966422e-08	8.33923052008108	7.76199411247815
"CTS_Elorbany.CP.1"	"Takeuchi_gp5"	300	79	9	"SAMD11, GATA6, ZEB2, DAB1, IFI16, JAG1, H1F0, PTPN13, HAND2"	13.220590012241	9.06991664776009e-08	3.08377166023843e-07	7.04239670407377	6.51091778703152
"CTS_Elorbany.CP.1"	"Maven2023_gene_ISL_up_T"	155	79	7	"PPP1R1A, ITM2C, MEIS1, SLC40A1, PTMS, CCND2, PLCE1"	19.7562352432963	1.69877932524557e-07	5.25077245984995e-07	6.769863033169	6.27977680128497
"CTS_Elorbany.CP.1"	"Xie_Common"	28	79	4	"CA2, HAND2, BMP5, HAPLN1"	67.0123511509576	8.34134291524117e-07	2.36338049265167e-06	6.07876402445476	5.62646635346013
"CTS_Elorbany.CP.1"	"PCGC_Valdiated"	99	79	5	"CITED2, GATA6, HAND2, JAG1, ZEB2"	21.6400023829418	6.24559757238736e-06	1.63346398047054e-05	5.20442600245005	4.78689043771463
"CTS_Elorbany.CP.1"	"Takeuchi_gp1"	300	79	7	"NAV1, BMP5, SC5D, GPC6, CITED2, KDR, BMPER"	9.92914139450864	1.36720506982927e-05	3.32035516958537e-05	4.86416633984642	4.47881545848241
"CTS_Elorbany.CP.1"	"Maven2023_gene_ISL_up_L"	944	79	11	"CCND2, ORC6, MEIS1, SLC40A1, ISL1, PPP1R1A, PLCE1, ITM2C, GPC6, PTMS, PERP"	5.0801912999197	3.29851593459276e-05	7.47663611841025e-05	4.48168141357262	4.12629375558604
"CTS_Elorbany.CP.1"	"Takeuchi_gp10"	300	79	6	"GATA6, CITED2, JAG1, H1F0, PTPN13, CHIC2"	8.36855171426785	0.000135561051860414	0.000271122103720827	3.86786506999547	3.56683507433148
"CTS_Elorbany.CP.1"	"Takeuchi_gp2"	300	79	6	"LPGAT1, KDR, BMP5, ZNF608, RHOBTB3, DUSP6"	8.36855171426785	0.000135561051860414	0.000271122103720827	3.86786506999547	3.56683507433148
"CTS_Elorbany.CP.1"	"Maven2023_gene_ISL_up_E"	121	79	4	"PPP1R1A, ITM2C, MEIS1, ISL1"	13.7268239958888	0.000288057279027005	0.000544108193717677	3.54052114594927	3.26431473401033
"CTS_Elorbany.CP.1"	"Elorbany_TD_A10_to_4"	79	79	3	"DYNC1I1, PPP1R1A, HAS2"	15.6562885646036	0.00116836061662298	0.00209075057711481	2.93242309075325	2.67969777466383
"CTS_Elorbany.CP.1"	"Elorbany_TD_A10_to_9"	169	79	3	"LRRTM1, DUSP6, IGSF3"	7.14932061571885	0.00987686293639388	0.0159911114208282	2.00538097299872	1.79612135069038
"CTS_Elorbany.CP"	"Maven2023_gene_ISL_dn_T"	242	76	15	"GATA6-AS1, CREG1, TMEM88, NID2, BMP4, DLK1, SLC5A3, WASF1, VIM, RGS5, EMP2, PLIN2, TERF2IP, SERINC3, LIX1"	32.4854581145385	4.06317613488287e-17	1.38147988586018e-15	16.3911343510062	14.8596554339639
