"network","AUC","normalized_AUC","ID"
"real_PPIN",0.312373737373737,0.314758269720101,"CTS_15"
"random",0.992424242424244,1,"CTS_15"
"scale_free",0.992424242424244,1,"CTS_15"
"small_world",0.992424242424244,1,"CTS_15"
"deg_preserving",0.267424242424243,0.269465648854962,"CTS_15"
"real_PPIN",0.250801282051282,0.254058441558442,"CTS_16"
"random",0.987179487179484,1,"CTS_16"
"scale_free",0.987179487179484,1,"CTS_16"
"small_world",0.987179487179484,1,"CTS_16"
"deg_preserving",0.211538461538462,0.214285714285715,"CTS_16"
"real_PPIN",0.246646514264123,0.248217511170264,"CTS_16.1"
"random",0.993670886075947,1,"CTS_16.1"
"scale_free",0.993670886075947,1,"CTS_16.1"
"small_world",0.993670886075947,1,"CTS_16.1"
"deg_preserving",0.218118269412432,0.219507557752639,"CTS_16.1"
"real_PPIN",0.210185185185184,0.211951447245564,"CTS_13"
"random",0.991666666666669,1,"CTS_13"
"scale_free",0.991666666666669,1,"CTS_13"
"small_world",0.991666666666669,1,"CTS_13"
"deg_preserving",0.187333333333333,0.18890756302521,"CTS_13"
"real_PPIN",0.294367283950617,0.297118380062305,"CTS_8"
"random",0.990740740740739,1,"CTS_8"
"scale_free",0.990740740740739,1,"CTS_8"
"small_world",0.990740740740739,1,"CTS_8"
"deg_preserving",0.246913580246913,0.249221183800623,"CTS_8"
