"signature"	"gene"	"PageRank"	"PPI_cat"	"EigenCentrality"	"p.PageRank"	"rank_by_p.PR"	"rank_by_PR"	"annd"	"p.annd"	"strength"	"rank_by_strength"	"normalized.strength"	"rank_by_normalized.strength"	"rank_by_ANND"	"rank_by_p.ANND"
"HiG_1"	"Nop56"	0.00303434889203974	"HiG"	0.000953686770336342	0.977	101	90	7	0	0.0241578805674783	81	9.01413454010385e-05	81	36.5	56.5
"HiG_1"	"Nop58"	0.00737735153079858	"HiG"	4.45261383290616e-17	0.966	11.5	29	1	0	0.0385974364813945	66.5	0.000144020285378338	66	105	56.5
"HiG_1"	"Npm1"	0.0188729919181059	"HiG"	0.48673828806883	0.98	111	7	6.50887596399198	0	0.493885507665599	5	0.00184285637188656	5	42	56.5
"HiG_1"	"Nsun2"	0.00641562459563734	"HiG"	0.0885660566704553	0.974	76.5	49	4.3098188274608	0	0.123254577758988	28	0.000459905140891747	28	64	56.5
"HiG_1"	"Pa2g4"	0.00601989249038856	"HiG"	4.5428817231902e-05	0.972	59	54	6	0	0.0336605441939434	72	0.000125599045499789	72	51	56.5
"HiG_1"	"Paics"	0.00136399617043572	"HiG"	0.0146925138175727	0.97	46.5	108	16	0	0.00810050284741989	101	3.02257568933578e-05	101	5.5	56.5
"HiG_1"	"Pbx1"	0.0087462755839588	"HiG"	0.000122145169705963	0.967	20	22	1.50085975966026	0	0.0802777067726677	37	0.000299543681987566	37	97	56.5
"HiG_1"	"Pcbp4"	0.00255795005573168	"HiG"	0.000469215628060028	0.968	29.5	95	12	0	0.0284630195519584	77	0.000106205296835666	77	18.5	56.5
"HiG_1"	"Pcna"	0.0101326690388031	"HiG"	0.0023254212339232	0.973	69	19	2.17886896482705	0	0.158842351192187	20	0.000592695340269353	20	84	56.5
"HiG_1"	"Pdia6"	0.00657113470012366	"HiG"	0.169470212861085	0.976	94.5	48	6.54053494412019	0	0.156208149716319	23	0.000582866230284771	23	41	56.5
"HiG_1"	"Pdlim4"	0.00200538606313175	"HiG"	0.000665777271120698	0.968	29.5	101	16	0	0.0112205432856422	97	4.18676988270231e-05	97	5.5	56.5
"HiG_1"	"Pfn2"	0.00332873871668015	"HiG"	0.1268438060871	0.975	85.5	85	16	0	0.0699334793993667	43	0.000260945818654353	43	5.5	56.5
"HiG_1"	"Pkm"	0.00404311094021259	"HiG"	0.0444911205132902	0.972	59	75	7	0	0.0897838368665683	32	0.0003350143166663	32	36.5	56.5
"HiG_1"	"Ppid"	0.00683166437921713	"HiG"	0.22822908647416	0.975	85.5	44	12.3550850684479	0	0.178271984666929	17	0.000665193972637796	17	14	56.5
"HiG_1"	"Ppp1cb"	0.00737735153079858	"HiG"	2.29089714005803e-18	0.965	4	29	1	0	0.00203766513891808	109.5	7.60322813029134e-06	109	105	56.5
"HiG_1"	"Prdx1"	0.00323655577740427	"HiG"	9.88390048072e-05	0.973	69	86	2.09729286600534	0	0.0188692582732956	89	7.04076801242374e-05	89	85	56.5
"HiG_1"	"Prdx2"	0.00567941619215246	"HiG"	6.73736824418808e-05	0.972	59	57	2	0	0.0402326850181219	64	0.000150121959022843	64	91.5	56.5
"HiG_1"	"Prdx4"	0.00355805443264745	"HiG"	0.0290579325977897	0.974	76.5	80	3.32142244100697	0	0.0644704517535165	48	0.000240561387139987	48	71	56.5
"HiG_1"	"Prmt1"	0.0148117968438696	"HiG"	0.0217652068754044	0.975	85.5	11	3.08109253318499	0	0.157774079493413	21	0.000588709251841094	21	73	56.5
"HiG_1"	"Prps1"	0.0026513155330445	"HiG"	0.00345028952390955	0.972	59	93	7.15223551046	0	0.0153149684873334	92	5.71454048034829e-05	92	34	56.5
"HiG_1"	"Prrx2"	0.00912222918480529	"HiG"	0.00259142462579947	0.968	29.5	20	12	0	0.157198024491463	22	0.000586559792878592	22	18.5	56.5
"HiG_1"	"Psip1"	0.00737735153079295	"HiG"	2.76458467124361e-17	0.966	11.5	36	1	0	0.0203013034361778	86.5	7.5751132224544e-05	87	105	56.5
"HiG_1"	"Ptma"	0.0103750731561171	"HiG"	0.0103828448932096	0.976	94.5	18	5.54377223635841	0	0.185226358063104	15	0.000691143127101134	15	59	56.5
"HiG_1"	"Rbbp4"	0.00889851376805456	"HiG"	0.0225602755493715	0.968	29.5	21	7.54949881758115	0	0.13596793037107	25	0.000507343023772648	25	32	56.5
"HiG_1"	"Rbbp7"	0.0131397287490387	"HiG"	0.289350604586168	0.974	76.5	14	9.30582627710951	0	0.290241273609395	10	0.00108298982690073	10	24	56.5
"HiG_1"	"Rbmx"	0.00516209705676258	"HiG"	3.82932759948977e-05	0.972	59	65	2	0	0.0367725970787876	68	0.000137211183129805	68	91.5	56.5
"HiG_1"	"Rbmxl1"	0.00664975737988795	"HiG"	0.000574135088700276	0.975	85.5	46	2.69502808231668	0	0.0512513407036249	56	0.000191236345909048	56	78	56.5
"HiG_1"	"Rcn2"	0.00394008617030296	"HiG"	0.0332035385061173	0.978	105	77	13	0	0.0614469971905884	52	0.00022927984026339	52	13	56.5
"HiG_1"	"Rrs1"	0.00250696800365699	"HiG"	0.000452733304942942	0.968	29.5	96	12	0	0.0274631877963901	78	0.000102474581329814	78	18.5	56.5
"HiG_1"	"Rtn4"	0.00289387041272251	"HiG"	0.0002224457960897	0.97	46.5	91	3	0	0.0253584033394038	80	9.46209079828498e-05	80	75.5	56.5
"HiG_1"	"Ruvbl2"	0.00158945463379982	"HiG"	5.42585539454794e-06	0.973	69	106	3	0	0.00345539194130316	104	1.28932535123252e-05	104	75.5	56.5
"HiG_1"	"Serbp1"	0.00732364331085686	"HiG"	0.19773168261369	0.979	108.5	40	7.84791291663621	0	0.154879506972787	24	0.000577908608107413	24	30	56.5
"HiG_1"	"Set"	0.0174744366728692	"HiG"	0.0336455681336848	0.972	59	8	2.3692663564925	0	0.305155511182119	9	0.00113863996709746	9	82	56.5
"HiG_1"	"Sfpq"	0.00730099806470497	"HiG"	0.244233979887392	0.979	108.5	41	9.40669484270405	0	0.184118601998684	16	0.000687009708950315	16	23	56.5
"HiG_1"	"Slc25a5"	0.00347915688121385	"HiG"	0.0152833119628318	0.979	108.5	81	8.54339288891864	0	0.0451708853489448	59	0.000168548079660242	59	25	56.5
"HiG_1"	"Tbcb"	0.00641394593648699	"HiG"	0.0156248442196155	0.976	94.5	50	3.15307591272735	0	0.0945766185997258	30	0.000352897830595992	30	72	56.5
"HiG_1"	"Tcf15"	0.00219331458780545	"HiG"	0.000804986061113238	0.968	29.5	97	16	0	0.0135666706192231	96	5.06219052956086e-05	96	5.5	56.5
"HiG_1"	"Tcf3"	0.0194414781557658	"HiG"	0.032713796704265	0.969	40.5	6	4.26429428383269	0	0.206303731047543	12	0.000769790041222176	12	65	56.5
"HiG_1"	"Timm8b"	0.00322108223571785	"HiG"	1.95507099520188e-05	0.972	59	88	6	0	0.0144861252496073	95	5.40527061552512e-05	95	51	56.5
"HiG_1"	"Tnfaip1"	0.00469279973183402	"HiG"	0.000278960960258946	0.973	69	71	4	0	0.0661390064725209	46	0.000246787337584033	46	68	56.5
