"signature"	"gene"	"PPI_cat"	"rank_by_PR"	"PCGC_AllCurated"
"HiG_5"	"Npm1"	"HiG"	1	FALSE
"HiG_5"	"Pou5f1"	"HiG"	3	FALSE
"HiG_6"	"Actb"	"HiG"	1	FALSE
"HiG_6"	"Actg1"	"HiG"	3	FALSE
"HiG_6"	"Hspa5"	"HiG"	2	FALSE
"HiG_6"	"Hspa8"	"HiG"	4	FALSE
"HiG_6"	"Mapk3"	"HiG"	5	FALSE
"HiG_7"	"Hsp90aa1"	"HiG"	3	FALSE
"HiG_7"	"Hsp90ab1"	"HiG"	4	FALSE
"HiG_7"	"Hspa8"	"HiG"	2	FALSE
"HiG_7"	"Prdx2"	"HiG"	5	FALSE
"HiG_7"	"Trp53"	"HiG"	1	FALSE
"HiG_8"	"Fgf8"	"HiG"	4	FALSE
"HiG_8"	"Hspa5"	"HiG"	3	FALSE
"HiG_8"	"Hspa8"	"HiG"	2	FALSE
"HiG_8"	"Ldha"	"HiG"	5	FALSE
"HiG_8"	"Npm1"	"HiG"	1	FALSE
"HiG_9"	"Hsp90aa1"	"HiG"	1	FALSE
"HiG_9"	"Hspa5"	"HiG"	5	FALSE
"HiG_9"	"Hspa8"	"HiG"	4	FALSE
"HiG_9"	"Npm1"	"HiG"	3	FALSE
"HiG_9"	"Trp53"	"HiG"	2	FALSE
