"signature"	"gene"	"PPI_cat"	"normalized.strength"	"PCGC_AllCurated"
"HiG_18"	"Acta2"	"HiG"	0.00351495326713014	TRUE
"HiG_19"	"Acta2"	"HiG"	0.00402778574642833	TRUE
"HiG_19"	"Akt1"	"HiG"	0.00397016866314662	FALSE
"HiG_19"	"Fn1"	"HiG"	0.00341237028058782	FALSE
"HiG_19"	"Itgb1"	"HiG"	0.00276681899183007	FALSE
"HiG_19"	"Mapk3"	"HiG"	0.00270944428998314	FALSE
"HiG_2"	"Tpm1"	"HiG"	0.0262598136609561	FALSE
"HiG_2"	"Acta2"	"HiG"	0.0262213333729864	TRUE
"HiG_2"	"Gapdh"	"HiG"	0.0254974213046014	FALSE
"HiG_2"	"Actc1"	"HiG"	0.0226612716954028	TRUE
"HiG_2"	"Tnnt2"	"HiG"	0.0226173972841617	FALSE
"HiG_3"	"Hspa5"	"HiG"	0.0154365312683163	FALSE
"HiG_3"	"Hspa8"	"HiG"	0.0150488918885622	FALSE
"HiG_3"	"Acta2"	"HiG"	0.0125600806112437	TRUE
"HiG_3"	"Actb"	"HiG"	0.0124324251523184	FALSE
"HiG_3"	"Eif4a1"	"HiG"	0.0113316000684287	FALSE
"HiG_4"	"Hspa8"	"HiG"	0.0138667096584658	FALSE
"HiG_4"	"Npm1"	"HiG"	0.0138217116673402	FALSE
"HiG_4"	"Hsp90aa1"	"HiG"	0.0122005695775013	FALSE
"HiG_4"	"Hspd1"	"HiG"	0.0119698150590863	FALSE
"HiG_4"	"Hspa5"	"HiG"	0.0119341841596458	FALSE
"HiG_5"	"Npm1"	"HiG"	0.0115691135651501	FALSE
"HiG_5"	"Hspa8"	"HiG"	0.0107590698835019	FALSE
"HiG_5"	"Hsp90aa1"	"HiG"	0.0098814016060503	FALSE
"HiG_5"	"Hspd1"	"HiG"	0.00987737435549668	FALSE
"HiG_5"	"Pou5f1"	"HiG"	0.00928671288111245	FALSE
"HiG_6"	"Actb"	"HiG"	0.00878518633297857	FALSE
"HiG_6"	"Hspa5"	"HiG"	0.00834458358769188	FALSE
"HiG_6"	"Actg1"	"HiG"	0.00654121051903599	FALSE
"HiG_6"	"Hspa8"	"HiG"	0.00636090427342351	FALSE
"HiG_6"	"Anxa2"	"HiG"	0.00584750937260877	FALSE
"HiG_7"	"Hspa8"	"HiG"	0.00702493732542945	FALSE
