signature	gene	PageRank	BetweennessCentrality	is_CHD	is_TF
HiG_cardiac.a	GPX8	0.00313319230764424	944	FALSE	FALSE
HiG_cardiac.a	GRB10	0.00221256929801744	8	FALSE	FALSE
HiG_cardiac.a	GSTO1	0.00159791209045479	1	FALSE	FALSE
HiG_cardiac.a	H2AZ2	0.00239335126390416	19	FALSE	FALSE
HiG_cardiac.a	HAND1	0.00222044483595913	0	TRUE	FALSE
HiG_cardiac.a	HAND2	0.00139983573558532	0	TRUE	FALSE
HiG_cardiac.a	HAPLN1	0.000417017653918495	0	FALSE	FALSE
HiG_cardiac.a	HES1	0.00100950209506383	0	FALSE	FALSE
HiG_cardiac.a	HMGA2	0.00473919261942843	1421	FALSE	FALSE
HiG_cardiac.a	HMGB3	0.000839922143084738	0	FALSE	FALSE
HiG_cardiac.a	HMGN1	0.0024588645623387	49	FALSE	FALSE
HiG_cardiac.a	HNRNPH3	0.00191021217545586	4	FALSE	FALSE
HiG_cardiac.a	HOMER2	0.00108617976067024	0	FALSE	FALSE
HiG_cardiac.a	HOXB1	0.00171569136737826	0	FALSE	FALSE
HiG_cardiac.a	HOXB2	0.00233420533547869	7	FALSE	FALSE
HiG_cardiac.a	HSD11B2	0.000510333575792251	0	FALSE	FALSE
HiG_cardiac.a	HSP90AA1	0.0124589462482596	9362	FALSE	FALSE
HiG_cardiac.a	HSP90B1	0.0100949895534364	9036	FALSE	FALSE
HiG_cardiac.a	HSPA5	0.0182333929707725	11264	FALSE	FALSE
HiG_cardiac.a	HSPD1	0.0074361358615997	2575	FALSE	FALSE
HiG_cardiac.a	ID1	0.00243589389923576	162	FALSE	FALSE
HiG_cardiac.a	ID2	0.00238055346667153	27	TRUE	FALSE
HiG_cardiac.a	ID3	0.00178327139967168	39	FALSE	FALSE
HiG_cardiac.a	IDH2	0.00191651801286506	0	FALSE	FALSE
HiG_cardiac.a	IER2	0.000961476823851783	0	FALSE	FALSE
HiG_cardiac.a	IFITM1	0.00333265724617173	590	FALSE	FALSE
HiG_cardiac.a	IFT74	0.00064823240616121	0	FALSE	FALSE
HiG_cardiac.a	IGF2	0.00145910108027202	4	FALSE	FALSE
HiG_cardiac.a	IGF2BP3	0.00268810799014094	6	FALSE	FALSE
HiG_cardiac.a	IGFBP2	0.00151675830795559	238	FALSE	FALSE
HiG_cardiac.a	IGFBP4	0.00188221603445082	8	FALSE	FALSE
HiG_cardiac.a	IMPDH1	0.00244121214673904	475	FALSE	FALSE
HiG_cardiac.a	ISL1	0.000766249544818866	0	TRUE	FALSE
HiG_cardiac.a	ITM2A	0.00133308822791777	6	FALSE	FALSE
HiG_cardiac.a	ITM2C	0.00117251586080961	358	FALSE	FALSE
HiG_cardiac.a	JAM3	0.00169493901508326	0	FALSE	FALSE
HiG_cardiac.a	JUN	0.0112823198248862	3730	FALSE	FALSE
HiG_cardiac.a	KIF5B	0.00414185533317421	1275	FALSE	FALSE
HiG_cardiac.a	KLF6	0.00106942442856698	0	FALSE	FALSE
HiG_cardiac.a	KRT18	0.0120155119919959	2310	FALSE	FALSE
HiG_cardiac.a	KRT8	0.0110029730414232	4492	FALSE	FALSE
HiG_cardiac.a	KRTCAP2	0.00108063073662371	4	FALSE	FALSE
HiG_cardiac.a	LAPTM4A	0.0010677730403807	11	FALSE	FALSE
HiG_cardiac.a	LAPTM4B	0.00142995452478575	85	FALSE	FALSE
HiG_cardiac.a	LDHB	0.00284315751617268	78	FALSE	FALSE
HiG_cardiac.a	LEF1	0.00249101167818514	136	FALSE	FALSE
HiG_cardiac.a	LIN28A	0.00387565821461461	114	FALSE	FALSE
HiG_cardiac.a	LLPH	0.00118022807021011	0	FALSE	FALSE
HiG_cardiac.a	LMO4	0.00115189514398401	0	FALSE	FALSE
HiG_cardiac.a	LRPAP1	0.00228038010887004	63	FALSE	FALSE
HiG_cardiac.a	LSM2	0.00170855895125314	31	FALSE	FALSE
HiG_cardiac.a	LSR	0.00152575118097133	0	FALSE	FALSE
HiG_cardiac.a	LUZP1	0.00128855055158294	0	FALSE	FALSE
HiG_cardiac.a	LY6E	0.000728676959554917	0	FALSE	FALSE
HiG_cardiac.a	LYAR	0.0042103451335841	609	FALSE	FALSE
HiG_cardiac.a	MAB21L2	0.00302809018859545	182	FALSE	FALSE
HiG_cardiac.a	MACROH2A1	0.00302870497004606	217	FALSE	FALSE
HiG_cardiac.a	MACROH2A2	0.0019438609947281	49	FALSE	FALSE
HiG_cardiac.a	MAGED1	0.00290591394880775	176	FALSE	FALSE
HiG_cardiac.a	MAGED2	0.00312003628363138	636	FALSE	FALSE
HiG_cardiac.a	MANF	0.00138550309142901	3	FALSE	FALSE
HiG_cardiac.a	MAP1B	0.00379802530344382	268	FALSE	FALSE
HiG_cardiac.a	MAPK3	0.00554443235393384	1646	FALSE	FALSE
HiG_cardiac.a	MARCKS	0.00490310672260027	390	FALSE	FALSE
HiG_cardiac.a	MARCKSL1	0.00159151887381444	16	FALSE	FALSE
HiG_cardiac.a	MDK	0.00134488603232286	5	FALSE	FALSE
HiG_cardiac.a	MEF2C	0.00186187601175181	160	TRUE	FALSE
HiG_cardiac.a	MEIS1	0.00306958520134432	330	FALSE	FALSE
HiG_cardiac.a	MEIS2	0.00310481298905406	161	TRUE	FALSE
HiG_cardiac.a	MEST	0.00154342818774616	109	FALSE	FALSE
HiG_cardiac.a	MFAP2	0.000613646163437988	0	FALSE	FALSE
HiG_cardiac.a	MGARP	0.00103856397673067	3	FALSE	FALSE
HiG_cardiac.a	MINDY3	0.00106193530361711	0	FALSE	FALSE
HiG_cardiac.a	MMD	0.000679020579622335	0	FALSE	FALSE
HiG_cardiac.a	MMP14	0.00129397758922602	0	FALSE	FALSE
HiG_cardiac.a	MNS1	0.000747052871256768	0	FALSE	FALSE
HiG_cardiac.a	MPPED2	0.00091101822417864	2	FALSE	FALSE
HiG_cardiac.a	MPZL1	0.000997500476063356	0	FALSE	FALSE
HiG_cardiac.a	MSX1	0.00412937225294775	546	TRUE	FALSE
HiG_cardiac.a	MSX2	0.00537347556589003	1997	TRUE	FALSE
HiG_cardiac.a	MTAP	0.00186259700280114	334	FALSE	FALSE
HiG_cardiac.a	MTCH1	0.00124158113475292	14	FALSE	FALSE
HiG_cardiac.a	MTHFD2	0.00130576647909012	2	FALSE	FALSE
HiG_cardiac.a	MTX2	0.00129271877658289	1	FALSE	FALSE
HiG_cardiac.a	MYCN	0.00742314018933256	1159	TRUE	FALSE
HiG_cardiac.a	MYL12B	0.00158995775602696	0	FALSE	FALSE
HiG_cardiac.a	MYL4	0.00240519686210054	158	FALSE	FALSE
HiG_cardiac.a	MYL6	0.00491716972631563	547	FALSE	FALSE
HiG_cardiac.a	MYL7	0.00167577228788287	0	FALSE	FALSE
HiG_cardiac.a	NASP	0.00329395657093224	614	FALSE	FALSE
HiG_cardiac.a	NCL	0.0106058109858103	4773	FALSE	FALSE
HiG_cardiac.a	NDN	0.0045838490867246	1367	FALSE	FALSE
HiG_cardiac.a	NEBL	0.00108064189250942	0	FALSE	FALSE
HiG_cardiac.a	NECTIN2	0.00204940445360443	146	FALSE	FALSE
HiG_cardiac.a	NEXN	0.00259708972307163	134	FALSE	FALSE
HiG_cardiac.a	NHP2	0.00309837687044126	129	FALSE	FALSE
HiG_cardiac.a	NKX2-5	0.00826750771659638	3636	TRUE	FALSE
HiG_cardiac.a	NME4	0.000999863097357817	0	FALSE	FALSE
HiG_cardiac.a	NOLC1	0.00333594709734654	14	FALSE	FALSE
HiG_cardiac.a	NPC2	0.00130335812926222	0	FALSE	FALSE
HiG_cardiac.a	NRP1	0.0035498813820685	613	TRUE	FALSE
HiG_cardiac.a	OAZ2	0.000864426537610354	0	FALSE	FALSE
HiG_cardiac.a	OSTC	0.00245306537730218	192	FALSE	FALSE
HiG_cardiac.a	P4HB	0.00399279621443909	455	FALSE	FALSE
HiG_cardiac.a	PAFAH1B3	0.00056974999836054	0	FALSE	FALSE
HiG_cardiac.a	PAICS	0.00280735390807958	40	FALSE	FALSE
HiG_cardiac.a	PCBP4	0.00061117985223685	0	FALSE	FALSE
HiG_cardiac.a	PCLAF	0.00150535537753696	7	FALSE	FALSE
HiG_cardiac.a	PDIA3	0.00849425382904632	2179	FALSE	FALSE
HiG_cardiac.a	PDIA4	0.00507535250283981	320	FALSE	FALSE
HiG_cardiac.a	PDIA6	0.00763765353566888	2574	FALSE	FALSE
HiG_cardiac.a	PDLIM7	0.00216720102103309	47	FALSE	FALSE
HiG_cardiac.a	PEG10	0.00185677008871139	362	FALSE	FALSE
HiG_cardiac.a	PEG3	0.000866381892832846	0	FALSE	FALSE
HiG_cardiac.a	PFN2	0.00145237398128119	0	FALSE	FALSE
HiG_cardiac.a	PGM1	0.00158769162585997	115	FALSE	FALSE
HiG_cardiac.a	PGRMC1	0.00290211074966173	604	FALSE	FALSE
HiG_cardiac.a	PHLDA2	0.000697475946387492	0	FALSE	FALSE
HiG_cardiac.a	PJA1	0.001179579990452	6	FALSE	FALSE
HiG_cardiac.a	PKP2	0.00169347905639374	347	FALSE	FALSE
HiG_cardiac.a	PLAC8	0.00071046741944322	0	FALSE	FALSE
HiG_cardiac.a	PLP2	0.000971555983500028	0	FALSE	FALSE
HiG_cardiac.a	PMP22	0.00386415916230794	2359	FALSE	FALSE
HiG_cardiac.a	PODXL	0.00182888852158097	781	FALSE	FALSE
HiG_cardiac.a	PPAN	0.00217476089509732	0	FALSE	FALSE
HiG_cardiac.a	PPIB	0.0054974833260517	327	FALSE	FALSE
HiG_cardiac.a	PPIC	0.000943757222916832	0	FALSE	FALSE
HiG_cardiac.a	PPP1CB	0.00543600586956207	677	FALSE	FALSE
HiG_cardiac.a	PPP1R14A	0.000681832709068484	0	FALSE	FALSE
HiG_cardiac.a	PRDM6	0.000600888824778335	0	TRUE	FALSE
HiG_cardiac.a	PRDX4	0.00227838195274015	0	FALSE	FALSE
HiG_cardiac.a	PRDX6	0.00391437903179794	608	FALSE	FALSE
HiG_cardiac.a	PRRX2	0.00197136628280889	358	FALSE	FALSE
HiG_cardiac.a	PRXL2A	0.00051808721366528	0	FALSE	FALSE
HiG_cardiac.a	PSIP1	0.00266933081492191	382	FALSE	FALSE
HiG_cardiac.a	PSPH	0.000567457789700161	0	FALSE	FALSE
HiG_cardiac.a	PTBP2	0.00115867791243662	14	FALSE	FALSE
HiG_cardiac.a	PTOV1	0.000793051104904022	0	FALSE	FALSE
HiG_cardiac.a	RAB34	0.0010824912750195	12	FALSE	FALSE
HiG_cardiac.a	RAB6A	0.00162867607912425	4	FALSE	FALSE
HiG_cardiac.a	RALA	0.00195905960115617	10	FALSE	FALSE
HiG_cardiac.a	RBBP7	0.00366261449507136	637	FALSE	FALSE
HiG_cardiac.a	RBFOX2	0.00271479351176507	128	TRUE	FALSE
HiG_cardiac.a	RBM38	0.00155604806665572	6	FALSE	FALSE
HiG_cardiac.a	RBMS1	0.0028529541817819	168	FALSE	FALSE
HiG_cardiac.a	RBPMS	0.00435730122118167	1492	FALSE	FALSE
HiG_cardiac.a	RBPMS2	0.00164642328501942	0	FALSE	FALSE
HiG_cardiac.a	RCN2	0.00156737358399105	0	FALSE	FALSE
HiG_cardiac.a	RDX	0.00559316974857363	1763	FALSE	FALSE
HiG_cardiac.a	RESF1	0.000729734960796355	0	FALSE	FALSE
HiG_cardiac.a	RGS5	0.000561640929884296	0	FALSE	FALSE
HiG_cardiac.a	RHOC	0.00458238100002649	915	FALSE	FALSE
HiG_cardiac.a	RRAS2	0.00128692486435172	0	FALSE	FALSE
HiG_cardiac.a	RRM2	0.00246261031659711	342	FALSE	FALSE
HiG_cardiac.a	RRS1	0.00364221397712329	588	FALSE	FALSE
HiG_cardiac.a	RSL1D1	0.00442242064930489	391	FALSE	FALSE
HiG_cardiac.a	RTN4	0.00288801729694888	670	FALSE	FALSE
HiG_cardiac.a	S100A10	0.00590070975964164	958	FALSE	FALSE
HiG_cardiac.a	SAP30	0.00138542948138153	0	FALSE	FALSE
HiG_cardiac.a	SDF2L1	0.00307236055069284	94	FALSE	FALSE
HiG_cardiac.a	SELENOH	0.00048036862187384	0	FALSE	FALSE
HiG_cardiac.a	SELENOK	0.00133499161702544	11	FALSE	FALSE
HiG_cardiac.a	SELENOS	0.00156980558956455	247	FALSE	FALSE
HiG_cardiac.a	SEPTIN9	0.001943357096944	1	FALSE	FALSE
HiG_cardiac.a	SERPINH1	0.0048979712924781	583	FALSE	FALSE
HiG_cardiac.a	SFRP1	0.00167836314174243	503	FALSE	FALSE
HiG_cardiac.a	SFRP5	0.000547387169270192	0	FALSE	FALSE
HiG_cardiac.a	SFXN1	0.00199805702237727	354	FALSE	FALSE
HiG_cardiac.a	SH3BGRL	0.00101826462159897	0	FALSE	FALSE
HiG_cardiac.a	SHISA2	0.000421337803480082	0	FALSE	FALSE
HiG_cardiac.a	SIVA1	0.00112060364551652	0	FALSE	FALSE
HiG_cardiac.a	SLC25A4	0.00315014907875585	427	FALSE	FALSE
HiG_cardiac.a	SLC2A1	0.00177747974486939	46	FALSE	FALSE
HiG_cardiac.a	SMARCD3	0.00174804758752329	50	FALSE	FALSE
HiG_cardiac.a	SMS	0.00147102453516597	375	FALSE	FALSE
HiG_cardiac.a	SMTNL2	0.00100813091069966	115	FALSE	FALSE
HiG_cardiac.a	SNRPN	0.000818087160011103	0	FALSE	FALSE
HiG_cardiac.a	SNX6	0.00105571335535445	0	FALSE	FALSE
HiG_cardiac.a	SOX4	0.00159130697105437	0	TRUE	FALSE
HiG_cardiac.a	SPARC	0.00457531530944821	1126	FALSE	FALSE
HiG_cardiac.a	SPCS2	0.00183635378992379	560	FALSE	FALSE
HiG_cardiac.a	SPEG	0.000847930523821228	0	FALSE	FALSE
HiG_cardiac.a	SRM	0.00136759698572886	5	FALSE	FALSE
HiG_cardiac.a	SSR3	0.00161949853760402	363	FALSE	FALSE
HiG_cardiac.a	STARD3NL	0.000983394539507018	4	FALSE	FALSE
HiG_cardiac.a	STK39	0.000764589143196786	0	FALSE	FALSE
HiG_cardiac.a	STMN1	0.00383209611678685	851	FALSE	FALSE
HiG_cardiac.a	TAGLN	0.00861407627454926	4116	FALSE	FALSE
HiG_cardiac.a	TBCB	0.000842501619805265	0	FALSE	FALSE
HiG_cardiac.a	TBRG1	0.000544909679234772	0	FALSE	FALSE
HiG_cardiac.a	TCEAL8	0.000756518336326251	0	FALSE	FALSE
HiG_cardiac.a	TCEAL9	0.00151142974854281	0	FALSE	FALSE
HiG_cardiac.a	TEAD2	0.00147633079516807	222	FALSE	FALSE
HiG_cardiac.a	TECR	0.000928420172225308	0	FALSE	FALSE
HiG_cardiac.a	TGFB2	0.00289631414757989	140	TRUE	FALSE
HiG_cardiac.a	TGIF1	0.000994180437269415	0	FALSE	FALSE
HiG_cardiac.a	TIMM8B	0.00133280382063937	358	FALSE	FALSE
HiG_cardiac.a	TIPARP	0.0052720629959255	1041	FALSE	FALSE
HiG_cardiac.a	TLN2	0.000946912348301005	0	FALSE	FALSE
HiG_cardiac.a	TMBIM6	0.00136946173438298	30	FALSE	FALSE
HiG_cardiac.a	TMED9	0.00186569029365518	4	FALSE	FALSE
HiG_cardiac.a	TMEM88	0.000939726067413976	2	FALSE	FALSE
HiG_cardiac.a	TMEM9	0.00168832172904295	31	FALSE	FALSE
HiG_cardiac.a	TMSB10	0.00203037879245155	0	FALSE	FALSE
HiG_cardiac.a	TMSB4X	0.00342297218438003	694	FALSE	FALSE
HiG_cardiac.a	TNFAIP1	0.00067512366851624	0	FALSE	FALSE
HiG_cardiac.a	TNNC1	0.00651754301420356	1131	FALSE	FALSE
HiG_cardiac.a	TNNI1	0.00474588254300349	375	FALSE	FALSE
HiG_cardiac.a	TNNT2	0.00417959376889035	0	FALSE	FALSE
HiG_cardiac.a	TPM1	0.0140491147727074	8000	FALSE	FALSE
HiG_cardiac.a	TPM2	0.00503545587894531	1461	FALSE	FALSE
HiG_cardiac.a	TPM4	0.00497324301490773	805	FALSE	FALSE
HiG_cardiac.a	TRIM28	0.00759333165095818	1139	FALSE	FALSE
