"signature"	"gene"	"PageRank"	"EigenCentrality"	"PPI_cat"	"strength"	"normalized.strength"	"annd"	"rank_by_PR"	"rank_by_strength"	"rank_by_normalized.strength"	"rank_by_ANND"	"p.PageRank"	"rank_by_p.PR"	"p.annd"	"rank_by_p.ANND"
"CTS_13"	"Ctla2b"	0.0175077822364027	0.0202785353539433	"CTS"	0.373412932580141	0.0063290327555956	3.37740745308473	21	16	16	43	NA	NA	NA	NA
"CTS_13"	"Cxx1b"	0.0029126213592233	3.09130890036206e-18	"CTS"	0	0	NA	55.5	55.5	55.5	NA	NA	NA	NA	NA
"CTS_13"	"Dusp2"	0.00463828781453905	0.00840743265111435	"CTS"	0.0410023085616233	0.000694954382400394	9.3076315432089	45	40	40	35	NA	NA	NA	NA
"CTS_13"	"Egln3"	0.00387448811959929	0.0207583217778982	"CTS"	0.0256642256026041	0.000434986874620408	22.3377655420538	46	41	41	1	NA	NA	NA	NA
"CTS_13"	"Elk3"	0.0058643292967643	0.0425920522939145	"CTS"	0.0808483888566649	0.00137031167553669	14.4313914984085	39	29	29	15	NA	NA	NA	NA
"CTS_13"	"Ets1"	0.0262956332714709	0.311795816002668	"CTS"	0.58451042090689	0.00990695628655745	13.854443938346	11	10	10	22	NA	NA	NA	NA
"CTS_13"	"Etv2"	0.0359752555593513	0.540004635584372	"CTS"	0.874944508363423	0.0148295679383631	14.9909482504814	6	6	6	13	NA	NA	NA	NA
"CTS_13"	"Exoc3l4"	0.0029126213592233	3.09130890036206e-18	"CTS"	0	0	NA	55.5	55.5	55.5	NA	NA	NA	NA	NA
"CTS_13"	"Fbxo6"	0.0029126213592233	3.09130890036206e-18	"CTS"	0	0	NA	55.5	55.5	55.5	NA	NA	NA	NA	NA
"CTS_13"	"Fmo1"	0.00373255135888511	0.0148509094208539	"CTS"	0.0223802430855987	0.000379326153993199	19	49	42	42	4	NA	NA	NA	NA
"CTS_13"	"Gcc2"	0.0029126213592233	3.09130890036206e-18	"CTS"	0	0	NA	55.5	55.5	55.5	NA	NA	NA	NA	NA
"CTS_13"	"Gimap1"	0.0167701369457279	0.171237392953525	"CTS"	0.349168773053011	0.00591811479750865	14.014580402719	23	17	17	19	NA	NA	NA	NA
"CTS_13"	"Gngt2"	0.0059385281769405	0.0701443442149855	"CTS"	0.0816657241773113	0.0013841648165646	21.8309260770002	38	28	28	2	NA	NA	NA	NA
"CTS_13"	"Grap"	0.0210705912480931	0.146449372350161	"CTS"	0.392659170163919	0.00665524017226981	9.65330448659641	15	15	15	34	NA	NA	NA	NA
"CTS_13"	"Hspg2"	0.0136381355480459	0.159777228172604	"CTS"	0.264115044608955	0.0044765261798128	15.2465704429209	25	20	20	12	NA	NA	NA	NA
"CTS_13"	"Icam2"	0.0537712440145678	0.72919380007551	"CTS"	1.29982695476703	0.0220309653350345	14.2074110851046	4	4	4	17	NA	NA	NA	NA
"CTS_13"	"Kcne3"	0.00492462639091512	0.0145585276537498	"CTS"	0.0472978757726935	0.000801658911401585	8	44	37	37	38.5	NA	NA	NA	NA
"CTS_13"	"Klhl6"	0.0174455742229333	0.163196519586182	"CTS"	0.337355500754031	0.00571788984328865	13.5873598478343	22	19	19	24	NA	NA	NA	NA
"CTS_13"	"Lyl1"	0.0208078192825533	0.15170466003895	"CTS"	0.444354159838336	0.0075314264379379	9.05539164589498	16	12	12	36	NA	NA	NA	NA
"CTS_13"	"Mall"	0.00500160451962536	0.018770162198489	"CTS"	0.0459795768658254	0.000779314862132635	11.2328974530496	43	38	38	31	NA	NA	NA	NA
"CTS_13"	"Map3k11"	0.003695790448372	0.00262966785591828	"CTS"	0.0135097634068588	0.000228979040794216	12	50	46	46	27.5	NA	NA	NA	NA
"CTS_13"	"Myzap"	0.0029126213592233	3.09130890036206e-18	"CTS"	0	0	NA	55.5	55.5	55.5	NA	NA	NA	NA	NA
"CTS_13"	"N4bp3"	0.0029126213592233	3.09130890036206e-18	"CTS"	0	0	NA	55.5	55.5	55.5	NA	NA	NA	NA	NA
"CTS_13"	"Nid1"	0.0107749601215663	0.12640149821728	"CTS"	0.203285717990194	0.00344552064390159	16.7049216041083	29	23	23	8	NA	NA	NA	NA
"CTS_13"	"Oit3"	0.00795731732814202	0.0327767469110294	"CTS"	0.0623047567132742	0.00105601282564872	13.4593767854335	35	31	31	25	NA	NA	NA	NA
"CTS_13"	"Orai1"	0.00570804093398385	3.10983975323816e-19	"CTS"	0.00237818029903507	4.03081406616113e-05	2	40	50	50	46.5	NA	NA	NA	NA
"CTS_13"	"Orai3"	0.0283390186302808	9.34415425964979e-19	"CTS"	0.0204928097190384	0.000347335757949804	1	10	43	43	49	NA	NA	NA	NA
"CTS_13"	"Pecam1"	0.0953574808663776	1	"CTS"	2.11059284249549	0.0357727600422965	11.7317129777198	1	1	1	29	NA	NA	NA	NA
